molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
"Molecule  2665",1,0,0,0,1,7,0,-2,354.423,14.427,613.111,284.701,203.539,122.863,2.007,1082.076,3.000,8.250,0.1923402,0.0233064,0.8313767,33.829,11.249,22.561,16.176,0.588,-2.712,-3.038,-3.472,74.777,-1.817,49.604,-4.166,9.623,1.221,2,-0.610,3,63.926,0.000,24.117,130.128,8,0,10,0,10,1,24,0,0.047
"Molecule  2666",5,0,0,1,0,3,1,-1,114.144,3.471,339.660,206.926,113.886,18.847,0.000,507.380,1.000,2.000,0.0237399,0.0058882,0.9057543,12.405,3.962,6.094,4.212,1.370,-0.869,-0.793,-1.339,208.699,-0.543,115.683,-3.264,10.602,0.178,1,-0.662,3,76.483,0.000,0.000,51.342,2,0,0,0,0,0,8,0,3.078
"Molecule  2667",2,0,0,0,0,4,1,0,142.197,2.863,424.193,346.184,60.712,17.297,0.000,650.543,0.000,2.000,0.0125991,0.0000000,0.8559571,17.478,4.497,5.853,2.358,2.165,-2.557,-1.165,-3.945,2631.288,-0.230,1407.674,-2.193,10.114,-0.665,2,-0.198,3,100.000,0.000,0.000,38.320,2,0,0,0,0,0,10,0,2.525
"Molecule  2668",5,0,0,0,0,6,0,0,128.214,2.021,398.230,330.413,54.034,13.782,0.000,620.870,1.000,1.700,0.0065786,0.0042689,0.8838234,14.972,4.552,6.144,2.954,2.380,-1.882,-1.126,-3.478,3044.340,-0.259,1647.969,-1.891,9.880,-0.937,2,-0.289,3,100.000,0.000,0.000,22.889,1,0,0,0,0,0,9,0,19.740
"Molecule  2669",3,0,0,0,0,5,1,0,126.198,3.506,392.713,293.555,79.866,19.292,0.000,608.597,0.000,2.000,0.0202012,0.0000000,0.8843887,15.176,4.417,5.282,2.206,1.900,-1.720,-0.825,-3.495,1731.931,-0.419,895.722,-2.443,10.476,0.134,1,-0.363,3,96.036,0.000,0.000,38.142,1,0,0,0,0,0,9,0,7.240
"Molecule  2670",0,0,0,0,0,4,1,0,222.240,4.512,471.024,266.254,109.070,95.699,0.000,792.793,0.000,5.250,0.0256741,0.0000000,0.8794861,23.919,7.052,10.483,6.534,1.268,-1.743,-1.717,-3.938,915.346,-0.618,449.602,-2.809,9.472,0.737,2,-0.655,3,87.375,0.000,0.000,75.713,4,0,6,0,6,0,16,0,6.242
"Molecule  2671",2,0,0,0,0,3,0,1,220.354,1.948,497.992,460.748,7.629,29.615,0.000,867.434,1.000,0.750,0.0043744,0.0015060,0.8832834,26.917,6.859,9.716,2.713,4.338,-4.522,-3.642,-3.562,8385.929,0.318,4927.192,-1.268,8.866,-0.316,4,0.689,3,100.000,0.000,0.000,12.074,1,0,6,0,6,0,16,0,0.358
"Molecule  2672",1,0,0,0,0,2,0,1,252.715,5.459,461.110,0.000,67.989,320.557,72.564,760.866,0.000,4.000,0.0391654,0.0000000,0.8741094,26.073,8.500,11.316,6.996,2.434,-2.852,-3.304,-5.098,2244.705,0.028,2960.855,-1.451,9.957,0.747,0,-0.328,3,100.000,0.000,0.000,34.497,2,0,12,0,12,0,16,0,12.583
"Molecule  2673",1,1,0,1,0,6,0,-1,131.174,3.704,358.109,193.718,164.391,0.000,0.000,548.468,3.000,3.000,0.0250112,0.0145100,0.9048653,11.943,5.090,9.514,7.724,-1.665,-0.446,0.227,-1.990,17.277,-0.738,8.661,-6.036,9.598,-0.847,3,-0.933,2,39.343,0.000,0.000,76.409,3,0,0,0,0,0,9,1,0.086
"Molecule  2674",0,0,0,0,0,6,2,-2,353.331,12.054,591.076,99.747,208.989,282.340,0.000,1043.886,1.000,6.250,0.1392008,0.0105739,0.8419584,34.466,11.596,18.404,10.781,2.115,-3.825,-4.865,-5.436,103.290,-1.764,42.527,-3.801,9.977,1.430,4,-0.004,3,75.377,0.000,0.000,124.263,7,0,16,0,16,0,26,0,0.008
"Molecule  2675",5,0,0,0,1,1,0,-2,158.116,5.960,299.485,17.535,281.951,0.000,0.000,459.531,3.250,3.750,0.0772950,0.0225734,0.9616114,11.594,5.625,11.728,13.256,-2.083,0.475,-0.665,-0.779,10.851,-1.530,7.600,-6.620,10.420,0.113,2,-1.037,2,33.279,0.000,36.017,154.257,7,0,5,0,5,1,11,1,0.113
"Molecule  2676",4,0,0,1,0,1,0,-1,122.123,2.634,307.552,0.000,105.480,202.073,0.000,460.342,1.000,2.000,0.0150674,0.0065030,0.9374904,13.557,5.015,6.759,5.765,1.867,-1.475,-1.294,-1.700,250.748,-0.297,141.070,-2.656,10.040,0.488,0,-0.687,3,80.819,0.000,0.000,49.663,2,0,6,0,6,0,9,0,22.254
"Molecule  2677",2,0,0,0,0,3,1,0,242.231,0.991,491.145,0.000,97.376,393.769,0.000,811.970,0.000,4.000,0.0012105,0.0000000,0.8570029,28.175,9.131,11.363,7.520,2.429,-2.942,-3.081,-5.724,1181.646,-0.501,592.516,-1.639,10.082,0.602,0,-0.222,3,96.158,0.000,0.000,71.919,4,0,12,0,12,0,18,0,6.363
"Molecule  2678",0,0,0,0,0,5,2,-1,361.396,4.680,671.862,201.233,105.281,365.348,0.000,1185.320,0.000,6.000,0.0184763,0.0000000,0.8061984,41.561,12.557,17.201,9.344,3.805,-4.993,-5.044,-6.410,994.301,-0.818,491.663,-1.693,9.388,0.177,3,0.242,3,100.000,0.000,0.000,87.334,5,0,18,0,18,0,27,0,0.074
"Molecule  2679",4,0,0,0,0,4,0,1,192.253,0.000,416.012,0.000,52.989,176.204,186.819,643.706,0.000,5.000,0.0000000,0.0000000,0.8666635,18.721,6.887,8.908,6.387,1.612,-1.646,-1.196,-4.530,3114.600,0.311,10000.000,-1.491,9.489,2.005,0,-1.021,3,100.000,0.000,0.000,27.436,2,0,6,0,6,0,12,0,140.202
"Molecule  2680",0,0,0,0,0,10,3,-2,336.384,3.864,674.018,439.675,97.016,137.327,0.000,1171.947,0.000,6.000,0.0127412,0.0000000,0.7975644,35.638,10.773,14.431,6.639,3.508,-4.220,-3.793,-5.463,1190.968,-1.056,597.570,-1.864,10.169,0.653,1,-0.009,3,100.000,0.000,0.000,92.854,6,0,6,0,6,0,24,0,0.277
"Molecule  2681",0,0,0,0,0,1,0,0,316.483,5.374,554.554,436.562,90.317,27.675,0.000,1042.364,1.000,2.750,0.0277053,0.0049589,0.8965350,35.184,9.132,14.580,5.809,3.491,-5.381,-4.637,-3.338,1378.560,-0.246,699.927,-2.991,10.136,0.124,3,0.896,3,100.000,0.000,0.000,48.824,2,0,17,0,17,14,23,0,0.002
"Molecule  2682",0,0,0,0,1,3,1,-1,237.096,7.028,412.493,215.447,151.636,0.000,45.410,661.781,2.000,2.500,0.0746423,0.0085711,0.8903435,18.404,6.183,10.970,9.211,0.674,-1.271,-2.261,-1.932,184.144,-0.781,291.935,-4.026,10.477,0.994,1,-0.577,2,71.432,0.000,36.781,85.597,4,0,0,0,0,0,12,0,1.197
"Molecule  2683",0,0,0,0,0,6,0,-2,245.662,6.308,477.144,78.864,170.037,156.817,71.427,773.439,3.000,4.950,0.0514533,0.0179687,0.8540162,22.444,8.742,15.138,11.062,0.998,-2.552,-2.592,-4.642,241.793,-1.177,262.544,-3.525,9.020,-0.088,3,-0.491,3,75.446,0.000,0.000,91.835,5,0,6,0,6,0,16,0,0.187
"Molecule  2684",0,0,0,0,0,1,1,0,292.334,4.682,525.948,130.118,72.075,323.756,0.000,922.885,1.000,3.250,0.0237537,0.0061793,0.8716061,33.230,9.863,14.386,8.123,3.588,-4.536,-4.780,-5.154,2053.135,-0.129,1076.555,-1.611,9.239,0.879,4,0.469,3,100.000,0.000,0.000,54.209,3,0,20,0,20,4,22,0,0.208
"Molecule  2685",1,1,0,1,0,6,0,-2,197.190,3.945,400.336,49.190,242.431,108.715,0.000,644.656,5.000,4.500,0.0241390,0.0251346,0.9014854,16.831,7.866,15.493,13.503,-2.511,-0.726,-0.707,-2.563,3.144,-1.388,1.373,-7.091,8.783,-0.152,6,-0.964,2,21.145,0.000,0.000,116.511,5,0,6,0,6,0,14,1,0.006
"Molecule  2686",0,1,0,0,0,5,0,1,379.433,4.119,687.477,183.861,113.923,343.371,46.321,1206.887,1.000,6.000,0.0140578,0.0087276,0.7974157,42.214,12.610,19.030,10.772,3.501,-4.743,-4.546,-7.174,205.337,-0.420,177.351,-3.992,8.318,0.761,4,0.498,3,88.835,46.321,0.000,74.761,5,0,21,0,21,3,28,0,0.001
"Molecule  2687",3,0,0,0,0,2,0,1,288.472,1.708,542.479,481.282,30.278,30.919,0.000,1005.696,1.000,0.750,0.0028993,0.0013825,0.8948701,33.105,8.391,12.088,3.203,5.079,-5.515,-4.756,-3.381,5114.151,0.191,2887.023,-1.777,9.378,-1.104,4,1.127,3,100.000,0.000,0.000,18.495,1,1,17,0,17,15,21,0,0.015
"Molecule  2688",0,0,0,0,0,2,0,0,336.446,5.765,540.944,391.868,108.867,29.321,10.889,1012.018,2.000,4.450,0.0328456,0.0116338,0.9011662,33.343,9.178,16.496,8.836,2.969,-4.464,-4.313,-3.271,919.424,-0.424,518.280,-3.231,10.095,0.123,4,0.416,3,100.000,10.889,0.000,64.154,3,0,17,0,17,14,24,0,0.012
"Molecule  2689",0,0,0,1,0,6,0,-2,330.742,6.496,528.792,41.059,228.700,204.180,54.854,890.812,3.000,7.000,0.0473764,0.0229284,0.8467146,27.594,10.538,18.274,13.921,1.863,-4.384,-3.791,-3.179,17.011,-1.790,15.379,-4.439,9.374,1.031,4,-0.644,2,59.879,0.000,0.000,128.574,7,0,11,0,11,0,21,1,0.014
"Molecule  2690",2,0,0,0,0,4,0,2,406.907,4.566,535.798,26.855,48.169,114.006,346.767,929.637,2.000,1.500,0.0224219,0.0039592,0.8597504,29.570,10.900,14.724,5.758,5.328,-6.038,-7.453,-4.345,3460.265,0.739,10000.000,-1.622,9.000,0.755,3,0.548,3,100.000,0.000,0.000,33.372,2,1,12,0,12,0,21,1,0.009
"Molecule  2691",1,0,0,1,0,5,0,-1,570.935,2.065,495.821,113.858,134.129,48.803,199.030,860.342,2.500,3.000,0.0049540,0.0095668,0.8823105,25.532,9.556,14.210,7.740,3.525,-4.048,-9.854,-1.862,134.139,-0.398,883.213,-3.340,8.749,1.691,3,-0.107,3,72.708,0.000,0.000,71.705,3,1,6,0,6,0,17,0,0.023
"Molecule  2692",8,0,0,0,0,21,1,-2,398.625,0.889,892.991,792.857,100.134,0.000,0.000,1587.469,0.000,4.000,0.0004977,0.0000000,0.7369785,43.892,14.173,15.308,1.857,7.011,-7.626,-5.683,-5.788,1112.565,-1.931,555.165,-1.349,11.242,-0.103,2,1.265,1,100.000,0.000,0.000,73.594,4,1,0,0,0,0,28,1,0.000
"Molecule  2693",0,1,0,0,1,3,0,1,323.437,7.222,576.921,328.573,67.648,180.700,0.000,1061.256,1.000,5.000,0.0491442,0.0086667,0.8721584,36.117,10.129,16.414,10.656,2.459,-2.335,-2.807,-3.814,332.659,0.188,294.718,-3.904,8.202,0.466,5,0.103,3,86.483,0.000,28.806,45.766,4,0,16,0,16,4,24,0,0.186
"Molecule  2694",0,0,0,0,0,1,0,0,246.265,3.363,444.288,173.369,112.500,158.419,0.000,772.809,1.000,4.000,0.0146351,0.0090032,0.9166753,25.645,7.813,12.024,7.815,1.734,-2.612,-3.294,-3.636,849.304,-0.389,414.644,-2.939,10.077,0.547,1,-0.045,3,89.522,0.000,0.000,84.924,5,0,12,0,12,1,18,0,0.376
"Molecule  2695",0,0,0,0,0,2,0,-2,360.230,5.073,509.311,119.749,214.565,59.472,115.525,872.019,2.000,9.000,0.0295085,0.0249905,0.8666938,28.028,9.525,17.993,14.202,0.135,-2.955,-3.473,-3.973,91.449,-1.178,160.085,-5.072,9.753,1.148,1,-0.628,3,62.839,0.000,0.000,115.137,7,0,10,0,10,2,20,0,0.003
"Molecule  2696",0,0,0,0,0,2,0,-2,365.834,12.023,581.759,142.353,176.292,208.591,54.523,1019.331,3.000,8.500,0.1418077,0.0253068,0.8419742,35.347,11.448,22.987,16.081,1.226,-3.762,-4.163,-5.084,210.923,-1.081,183.014,-3.842,9.268,1.110,2,-0.238,3,75.719,0.000,0.000,100.885,6,0,16,0,16,1,24,0,0.005
"Molecule  2697",0,0,0,0,0,4,0,-1,327.123,10.735,521.352,0.000,165.161,231.421,124.771,879.527,1.000,3.250,0.1310291,0.0062338,0.8515302,28.686,10.228,15.027,7.499,3.074,-4.519,-5.269,-5.038,268.954,-0.890,577.289,-3.364,9.465,1.368,2,0.218,3,88.431,0.000,0.000,94.890,6,0,12,0,12,0,21,0,0.004
"Molecule  2698",0,0,0,0,1,2,0,-1,178.190,8.393,381.194,42.796,159.133,179.266,0.000,620.544,2.000,2.500,0.1135086,0.0092749,0.9229969,19.108,7.040,11.952,10.566,0.427,-1.031,-1.491,-2.259,158.062,-0.802,137.939,-3.629,9.972,0.203,2,-0.623,2,68.801,0.000,36.183,91.079,4,0,6,0,6,0,13,0,7.754
"Molecule  2699",2,0,0,0,0,0,0,2,199.270,2.857,408.652,0.000,15.038,355.931,37.683,661.689,1.000,0.500,0.0123346,0.0012235,0.8986291,23.726,7.516,9.426,5.196,3.555,-3.597,-3.767,-4.870,7133.428,0.532,6654.175,-0.543,7.759,0.307,5,0.273,3,100.000,0.000,0.000,12.231,1,0,14,0,14,0,14,0,14.870
"Molecule  2700",0,0,0,0,0,2,0,0,230.263,3.158,454.241,184.831,101.174,168.236,0.000,780.629,0.000,6.000,0.0127747,0.0000000,0.9026274,25.409,7.546,11.435,8.114,0.975,-1.411,-1.655,-3.910,1087.595,-0.385,541.710,-2.599,10.383,1.156,1,-0.806,3,87.003,0.000,0.000,75.757,3,0,9,0,9,1,17,0,25.403
"Molecule  2701",0,0,0,0,2,1,0,0,218.255,4.958,432.777,149.654,118.089,165.035,0.000,723.280,2.000,5.000,0.0339806,0.0163388,0.9004065,23.726,7.507,13.600,14.868,-0.171,-0.434,-1.080,-1.182,243.725,-0.468,363.404,-3.018,9.513,-0.291,1,-0.967,2,68.663,0.000,61.453,72.466,4,0,12,0,12,2,16,0,77.068
"Molecule  2702",2,0,0,0,0,3,0,1,206.305,3.615,462.228,243.013,13.621,158.176,47.418,752.661,0.000,1.500,0.0173675,0.0000000,0.8657155,23.552,6.654,8.070,2.832,3.747,-3.909,-3.223,-4.459,7357.530,0.378,7779.279,-0.925,8.585,0.736,1,0.274,3,100.000,0.000,0.000,14.173,2,0,11,0,11,3,14,0,3.019
"Molecule  2703",0,0,0,0,0,6,0,-2,303.335,4.217,622.536,170.201,135.924,270.080,46.331,1026.211,3.500,4.500,0.0173324,0.0135233,0.7903599,33.642,11.025,18.788,12.230,2.901,-4.829,-4.106,-6.212,509.252,-1.135,427.937,-2.497,8.106,0.261,5,0.078,3,92.381,46.331,0.000,81.875,5,0,12,0,12,0,22,0,0.014
"Molecule  2704",1,0,0,0,0,5,0,-2,244.207,6.761,440.568,101.529,286.696,52.343,0.000,726.882,5.000,12.300,0.0628847,0.0624277,0.8874177,20.225,8.520,21.563,21.421,-2.606,-1.544,-0.628,-3.603,18.930,-2.165,6.795,-6.139,9.865,0.683,5,-0.990,2,34.546,0.000,0.000,157.266,9,0,10,0,10,4,17,1,0.005
"Molecule  2705",4,0,0,0,0,2,2,1,140.094,6.006,327.528,241.861,50.068,0.000,35.599,501.125,0.000,5.000,0.0719936,0.0000000,0.9315679,12.617,3.169,6.905,5.344,-0.081,0.365,0.271,-2.639,3319.771,0.146,2835.436,-2.250,10.420,-0.503,0,-1.350,3,89.491,32.754,0.000,26.964,2,0,0,0,0,0,8,0,1822.899
"Molecule  2706",4,0,0,1,0,3,1,-1,112.128,4.104,332.206,165.253,113.759,53.194,0.000,490.268,1.000,2.000,0.0343541,0.0060204,0.9051345,12.048,4.001,6.170,4.427,1.346,-0.831,-0.758,-1.513,209.279,-0.543,116.031,-3.141,9.588,0.673,1,-0.706,3,76.365,0.000,0.000,51.280,2,0,0,0,0,0,8,0,5.395
"Molecule  2707",1,0,0,1,0,7,0,-2,398.392,6.424,679.637,0.000,267.468,411.958,0.211,1162.368,2.000,10.500,0.0355064,0.0218488,0.7866535,39.803,14.290,22.883,17.704,1.282,-3.841,-4.245,-5.141,7.296,-2.739,3.092,-4.326,9.311,2.039,3,-0.696,2,49.900,0.000,0.000,159.883,9,0,18,0,18,0,28,1,0.003
"Molecule  2708",13,0,0,0,0,0,0,0,146.050,1.996,213.442,0.000,0.000,0.000,213.442,281.483,0.000,0.500,0.0141469,0.0000000,0.9731632,5.111,-0.205,1.848,0.800,2.492,-1.572,-0.691,-1.966,9906.038,-0.037,10000.000,-1.520,8.383,4.250,0,-0.699,3,100.000,196.170,0.000,0.000,0,0,0,0,0,0,7,0,898.756
"Molecule  2709",0,0,0,0,0,0,0,1,201.245,3.329,414.452,0.000,60.236,298.010,56.206,657.378,1.000,3.000,0.0168631,0.0072385,0.8822019,23.000,7.375,10.767,7.593,2.291,-3.067,-2.954,-4.859,2658.800,0.185,2892.555,-1.580,8.758,0.917,1,-0.147,3,100.000,0.000,0.000,39.617,3,0,14,0,14,0,14,0,4.536
"Molecule  2711",12,0,0,0,0,1,0,1,44.053,1.217,201.617,84.156,55.366,62.095,0.000,256.730,1.000,1.700,0.0057717,0.0084318,0.9689245,4.071,1.615,2.759,3.922,-0.262,0.957,0.039,-2.331,2957.070,0.110,1596.966,-2.225,9.748,-1.173,0,-0.953,3,87.531,0.000,0.000,20.587,1,0,0,0,0,0,3,0,983.248
"Molecule  2712",0,0,0,0,0,3,0,-1,212.223,4.463,386.815,41.835,173.179,171.801,0.000,632.597,2.000,6.000,0.0314901,0.0219363,0.9213246,18.877,7.196,12.658,11.174,-0.124,-1.307,-1.905,-3.624,225.759,-0.977,99.019,-3.818,9.850,1.192,1,-0.696,2,68.346,0.000,0.000,90.906,5,0,9,0,9,0,14,0,1.592
"Molecule  2713",1,0,0,0,0,8,1,0,352.577,7.380,710.425,554.733,50.218,105.475,0.000,1256.806,0.000,3.700,0.0433397,0.0000000,0.7927911,40.014,11.047,14.926,4.368,5.469,-6.440,-5.204,-5.388,3308.922,-0.451,1803.307,-1.305,8.129,0.170,0,0.937,1,100.000,0.000,0.000,42.227,4,1,6,0,6,0,23,1,0.006
"Molecule  2714",8,0,0,1,0,2,0,-1,90.079,4.382,257.154,107.885,149.269,0.000,0.000,361.743,2.000,3.700,0.0530756,0.0203481,0.9547861,7.039,3.194,7.263,7.486,-0.211,-0.073,-0.283,-0.456,96.379,-0.649,50.187,-4.079,11.212,-0.389,1,-1.055,2,61.222,0.000,0.000,71.308,3,0,0,0,0,0,6,0,6.576
"Molecule  2715",0,0,0,0,0,0,0,1,284.744,4.353,519.439,120.696,59.865,267.628,71.250,890.117,0.000,4.000,0.0212856,0.0000000,0.8615142,32.024,9.289,13.078,7.162,2.996,-3.807,-3.919,-5.049,2680.432,0.201,3527.747,-1.680,9.104,0.785,1,0.132,3,100.000,0.000,0.000,46.569,3,0,17,0,12,1,20,0,0.315
"Molecule  2716",0,1,0,0,0,6,0,1,379.498,3.950,713.434,432.384,29.128,251.922,0.000,1275.930,0.000,5.500,0.0122282,0.0000000,0.7974359,43.462,12.101,16.905,7.442,4.507,-4.661,-4.338,-6.737,1307.900,0.295,731.532,-2.655,8.862,0.401,6,0.596,3,100.000,0.000,0.000,44.370,4,0,21,0,21,7,28,0,0.018
"Molecule  2717",0,0,0,0,0,6,1,-1,222.240,2.410,500.133,265.071,106.705,128.356,0.000,805.515,1.000,3.500,0.0072126,0.0069981,0.8371351,23.456,7.382,10.434,6.110,2.268,-3.183,-2.709,-4.779,963.859,-0.813,475.413,-2.458,8.859,0.581,2,-0.116,3,93.634,0.000,0.000,66.295,4,0,6,0,6,0,16,0,0.508
"Molecule  2718",0,0,0,0,0,2,1,0,246.219,8.194,431.183,167.862,72.149,191.172,0.000,731.401,0.000,4.500,0.0917986,0.0000000,0.9104869,23.658,7.075,10.997,6.539,1.600,-1.706,-2.994,-3.892,2049.784,-0.137,1074.656,-1.984,8.821,1.024,3,-0.547,3,95.586,0.000,0.000,62.438,5,0,13,0,13,0,18,0,50.263
"Molecule  2719",11,0,0,0,0,15,0,-2,866.784,6.633,1009.829,120.409,515.325,374.096,0.000,2131.658,15.000,16.350,0.0206409,0.0627069,0.7932235,73.096,27.242,57.748,42.964,0.394,-4.595,-10.892,-6.662,0.129,-5.801,0.031,-8.259,8.979,0.707,21,-0.257,1,0.000,0.000,0.000,309.661,18,3,48,0,48,9,63,2,0.000
"Molecule  2720",8,0,0,0,0,14,1,-2,730.634,4.592,925.674,75.177,536.975,313.522,0.000,1842.219,12.000,13.450,0.0114482,0.0503332,0.7851173,61.576,23.986,47.497,35.467,0.048,-4.649,-9.331,-6.504,0.080,-6.088,0.018,-8.967,8.750,0.571,16,-0.261,1,0.000,0.000,0.000,291.203,16,3,38,0,38,6,53,2,0.000
"Molecule  2721",7,0,0,0,0,10,0,-2,578.528,7.904,801.270,86.809,408.490,305.971,0.000,1525.330,10.000,10.900,0.0409543,0.0430177,0.7997644,51.391,19.706,39.469,29.684,0.378,-4.350,-7.233,-6.231,1.325,-4.297,0.384,-7.010,8.719,-0.166,14,-0.277,1,0.000,0.000,0.000,219.672,12,3,32,0,32,6,42,2,0.000
"Molecule  2722",0,0,0,0,0,4,1,-1,182.176,5.578,404.828,139.297,142.021,123.510,0.000,637.187,2.000,3.500,0.0488303,0.0122268,0.8845853,17.957,6.356,10.878,7.994,0.946,-1.775,-1.932,-3.989,445.778,-0.888,206.580,-3.318,9.209,0.452,2,-0.478,3,79.897,0.000,0.000,77.212,4,0,6,0,6,0,13,0,1.315
"Molecule  2723",0,0,0,0,0,3,0,1,259.261,4.825,447.152,255.035,10.190,181.926,0.000,781.658,0.000,3.750,0.0297849,0.0000000,0.9177437,24.939,7.124,9.864,5.134,2.711,-2.239,-3.619,-3.731,7929.849,0.302,4638.194,-0.778,8.387,1.269,4,-0.243,3,100.000,0.000,0.000,43.383,5,0,13,0,13,0,19,0,249.175
"Molecule  2724",14,0,0,0,0,20,3,-2,804.881,9.185,1033.600,621.637,388.739,23.224,0.000,2125.549,11.000,28.250,0.0396922,0.0906489,0.7734997,66.290,23.175,54.738,44.534,-2.537,-2.400,-3.747,-5.308,2.039,-4.974,0.611,-6.682,9.728,-0.678,12,-1.718,1,0.000,0.000,0.000,279.249,18,3,34,0,34,30,56,2,0.001
"Molecule  2725",0,0,0,0,0,5,1,1,248.321,1.784,528.119,390.190,25.593,112.336,0.000,916.752,0.000,3.250,0.0034708,0.0000000,0.8641740,28.397,7.724,10.230,4.027,3.648,-3.709,-3.199,-4.266,5665.070,0.034,3224.599,-1.115,9.009,0.093,3,0.198,3,100.000,0.000,0.000,39.864,3,0,6,0,6,0,18,0,3.718
"Molecule  2726",0,1,0,1,1,5,0,-1,301.344,7.476,518.790,176.649,145.177,196.964,0.000,929.701,4.000,6.000,0.0601109,0.0231308,0.8879783,29.723,10.313,19.577,16.506,-1.020,-1.105,-1.733,-1.828,13.992,-0.567,13.631,-5.084,8.143,-0.114,5,-0.719,2,41.482,0.000,34.396,101.452,6,0,14,0,14,4,22,1,0.195
"Molecule  2727",3,1,0,1,2,12,0,-2,576.654,8.312,867.465,109.101,221.417,536.946,0.000,1680.338,6.500,6.500,0.0411159,0.0191037,0.7879723,58.516,20.665,33.886,23.176,1.950,-4.730,-6.958,-3.693,2.404,-2.139,2.255,-4.619,8.102,0.211,8,0.070,1,19.264,0.000,39.672,163.636,10,2,27,0,27,0,43,2,0.000
"Molecule  2728",0,0,0,0,0,4,1,0,196.202,2.969,431.862,232.262,92.676,106.925,0.000,693.539,1.000,3.500,0.0127106,0.0081044,0.8774050,20.054,6.206,9.379,6.146,1.765,-2.334,-2.207,-4.026,1309.354,-0.480,662.026,-2.467,9.027,0.375,2,-0.308,3,93.072,0.000,0.000,63.358,4,0,6,0,6,0,14,0,3.164
"Molecule  2729",0,0,0,0,0,3,4,-1,460.480,10.409,621.258,378.459,109.691,133.108,0.000,1249.319,0.000,11.500,0.0867334,0.0000000,0.9029738,43.189,11.608,21.777,13.531,1.242,-1.480,-3.819,-3.737,903.024,-0.514,443.064,-2.784,9.698,-0.198,4,-0.959,3,87.118,0.000,0.000,126.730,9,0,21,3,18,12,33,0,25.049
"Molecule  2730",0,0,0,0,0,3,0,-1,260.289,4.396,476.285,257.025,147.608,71.651,0.000,839.976,1.000,6.700,0.0230095,0.0140672,0.9039473,26.220,8.006,13.750,9.759,0.899,-2.251,-2.194,-3.428,394.574,-0.822,181.056,-3.699,10.145,0.651,5,-0.438,3,78.673,0.000,0.000,85.931,4,0,13,0,10,5,19,0,0.292
"Molecule  2731",0,0,0,0,0,3,2,-2,376.405,3.464,526.424,291.904,187.878,46.643,0.000,1012.438,3.000,9.900,0.0118542,0.0325732,0.9262785,32.883,10.290,20.848,16.065,0.379,-2.572,-3.336,-2.947,163.778,-1.077,69.993,-4.530,10.494,0.680,6,-0.360,3,68.793,0.000,0.000,125.010,7,0,19,0,19,12,27,0,0.030
"Molecule  2732",10,0,0,0,0,13,10,-2,838.771,10.298,1078.774,661.015,271.066,146.693,0.000,2226.868,0.000,23.600,0.0476206,0.0000000,0.7644765,76.019,21.684,39.594,25.535,0.626,-2.187,-6.970,-6.043,26.631,-3.312,9.826,-4.750,9.405,0.733,2,-1.782,2,30.204,0.000,0.000,289.474,19,2,28,0,28,10,60,0,0.097
"Molecule  2733",8,0,0,0,0,15,2,-2,457.433,4.950,723.653,198.362,340.953,184.339,0.000,1314.936,7.000,20.200,0.0186335,0.0738533,0.8021171,38.599,15.766,34.574,31.874,-2.931,-2.483,-2.274,-5.613,5.790,-3.874,1.888,-5.714,10.189,0.351,9,-1.695,1,0.000,0.000,0.000,203.418,12,2,18,0,18,10,32,2,0.003
"Molecule  2734",0,0,0,0,0,4,5,-1,492.565,4.636,716.859,506.601,124.155,86.104,0.000,1419.574,0.000,11.400,0.0151419,0.0000000,0.8521255,48.911,12.787,22.600,13.221,2.246,-3.181,-4.293,-4.335,658.480,-0.818,314.931,-3.120,9.731,-0.804,1,-0.480,3,90.544,0.000,0.000,124.999,9,0,20,3,17,15,35,0,0.246
"Molecule  2735",1,0,0,0,0,3,2,-2,366.453,5.164,538.523,350.739,187.784,0.000,0.000,1040.041,3.000,10.100,0.0256407,0.0324846,0.9218521,33.542,10.179,21.300,15.973,0.403,-2.688,-2.836,-2.797,164.115,-1.091,70.149,-4.692,10.537,-0.468,5,-0.337,3,68.954,0.000,0.000,114.728,6,0,17,0,17,14,26,0,0.015
"Molecule  2736",1,0,0,0,0,1,2,-1,374.390,4.233,490.545,232.321,118.768,139.457,0.000,966.554,1.000,9.250,0.0185368,0.0188566,0.9637631,33.217,9.844,17.752,13.011,0.974,-1.990,-3.495,-2.783,740.670,-0.349,357.627,-3.121,9.677,-0.176,4,-0.460,3,84.010,0.000,0.000,105.424,7,0,22,3,19,12,27,0,2.897
